time (unix)	dt (s)	p (Pa)
1616494559.845	1.606	2238.31
1616494564.851	1.606	2237.50
1616494569.841	1.606	2236.19
1616494574.847	1.606	2235.44
1616494579.861	1.614	2234.70
1616494584.844	1.606	2233.41
1616494589.858	1.614	2231.90
1616494594.839	1.607	2231.10
1616494599.854	1.614	2230.20
1616494604.859	1.614	2229.50
1616494609.849	1.615	2229.00
1616494614.855	1.614	2227.77
1616494619.853	1.606	2226.68
1616494624.851	1.614	2225.24
1616494629.849	1.606	2224.42
1616494634.856	1.606	2223.56
1616494639.845	1.606	2222.41
1616494644.875	1.614	2221.25
1616494649.841	1.606	2220.35
1616494654.848	1.606	2219.43
1616494659.862	1.614	2218.25
1616494664.845	1.606	2217.19
1616494669.851	1.606	2216.11
1616494674.841	1.606	2214.57
1616494679.854	1.614	2213.21
1616494684.861	1.614	2212.18
1616494689.850	1.614	2211.18
1616494694.856	1.615	2210.38
1616494699.845	1.614	2209.41
1616494704.852	1.614	2208.20
1616494709.849	1.606	2206.99
1616494714.847	1.614	2206.25
1616494719.845	1.606	2205.51
1616494724.850	1.606	2203.87
1616494729.841	1.606	2202.28
1616494734.847	1.606	2201.45
