time (unix)	dt (s)	source (°C)
1616500342.536	0.130	5.9970
1616500353.547	0.130	5.9570
1616500364.513	0.108	5.9210
1616500375.516	0.102	5.8800
1616500386.536	0.124	5.8430
1616500397.515	0.110	5.8060
1616500408.537	0.131	5.7670
1616500419.515	0.102	5.7300
1616500441.534	0.122	5.6520
1616500452.553	0.148	5.6170
1616500463.538	0.126	5.5760
1616500474.553	0.141	5.5510
1616500485.536	0.121	5.5040
1616500496.529	0.124	5.4740
1616500507.563	0.151	5.4420
1616500518.555	0.141	5.4020
1616500529.536	0.122	5.3700
1616500540.544	0.138	5.3460
1616500562.552	0.138	5.2830
1616500573.546	0.140	5.2490
